unix,date,symbol,open,high,low,close,Volume COOL,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1676937600000,2023-02-21 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1676851200000,2023-02-20 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1676764800000,2023-02-19 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1676678400000,2023-02-18 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0.39,0.000134,0,0,1,2915.04
1676592000000,2023-02-17 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1676505600000,2023-02-16 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1676419200000,2023-02-15 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1676332800000,2023-02-14 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1676246400000,2023-02-13 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.04
1676160000000,2023-02-12 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,6.41,0.0022,0,0,1,2915.04
1676073600000,2023-02-11 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.041346686369052007
1675987200000,2023-02-10 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.041346686369052007
1675900800000,2023-02-09 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.041346686369052007
1675814400000,2023-02-08 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.041346686369052007
1675728000000,2023-02-07 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.041346686369052007
1675641600000,2023-02-06 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.041346686369052007
1675555200000,2023-02-05 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2915.041346686369052007
1675468800000,2023-02-04 00:00:00,COOL/USDT,2915.04,2915.05,2915.04,2915.04,7.42461031,0.002547,6.01373095,0.002063,3,2915.041346686369052007
1675382400000,2023-02-03 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0.99985872,0.000343,0.99985872,0.000343,1,2915.04
1675296000000,2023-02-02 00:00:00,COOL/USDT,2602.31,2602.31,2602.31,2602.31,0,0,0,0,0,2602.31
1675209600000,2023-02-01 00:00:00,COOL/USDT,2602.31,2602.31,2602.31,2602.31,0,0,0,0,0,2602.31
1675123200000,2023-01-31 00:00:00,COOL/USDT,2602.31,2602.31,2602.31,2602.31,0.24461714,0.000094,0,0,1,2602.31
1675036800000,2023-01-30 00:00:00,COOL/USDT,2915.05,2915.05,2915.05,2915.05,0,0,0,0,0,2673.236783391424904671
1674950400000,2023-01-29 00:00:00,COOL/USDT,2915.05,2915.05,2915.05,2915.05,0,0,0,0,0,2673.236783391424904671
1674864000000,2023-01-28 00:00:00,COOL/USDT,2915.05,2915.05,2915.05,2915.05,0,0,0,0,0,2673.236783391424904671
1674777600000,2023-01-27 00:00:00,COOL/USDT,2915.05,2915.05,2915.05,2915.05,0,0,0,0,0,2673.236783391424904671
1674691200000,2023-01-26 00:00:00,COOL/USDT,2915.05,2915.05,2915.05,2915.05,0,0,0,0,0,2673.236783391424904671
1674604800000,2023-01-25 00:00:00,COOL/USDT,2915.05,2915.05,2915.05,2915.05,0,0,0,0,0,2673.236783391424904671
1674518400000,2023-01-24 00:00:00,COOL/USDT,2915.05,2915.05,2915.05,2915.05,0,0,0,0,0,2673.236783391424904671
1674432000000,2023-01-23 00:00:00,COOL/USDT,2915.05,2915.05,2915.05,2915.05,0,0,0,0,0,2673.236783391424904671
1674345600000,2023-01-22 00:00:00,COOL/USDT,2915.05,2915.05,2915.05,2915.05,0,0,0,0,0,2673.236783391424904671
1674259200000,2023-01-21 00:00:00,COOL/USDT,2915.05,2915.05,2915.05,2915.05,0,0,0,0,0,2673.236783391424904671
1674172800000,2023-01-20 00:00:00,COOL/USDT,2915.05,2915.05,2915.05,2915.05,0,0,0,0,0,2673.236783391424904671
1674086400000,2023-01-19 00:00:00,COOL/USDT,2915.05,2915.05,2915.05,2915.05,0,0,0,0,0,2673.236783391424904671
1674000000000,2023-01-18 00:00:00,COOL/USDT,2915.05,2915.05,2915.05,2915.05,0,0,0,0,0,2673.236783391424904671
1673913600000,2023-01-17 00:00:00,COOL/USDT,2600,2915.05,2600,2915.05,14.8370922,0.005558,14.8370922,0.005558,4,2673.236783391424904671
1673827200000,2023-01-16 00:00:00,COOL/USDT,2915.04,2915.04,2915.04,2915.04,0,0,0,0,0,2853.307419362878831785
1673740800000,2023-01-15 00:00:00,COOL/USDT,2200,2915.04,2200,2915.04,5.86092848,0.002067,5.35492848,0.001837,2,2853.307419362878831785
1673654400000,2023-01-14 00:00:00,COOL/USDT,3059.78,3059.78,3059.78,3059.78,1.99803634,0.000653,1.99803634,0.000653,1,3059.78
1673568000000,2023-01-13 00:00:00,COOL/USDT,2650,2650,2650,2650,0,0,0,0,0,2901.19343705763232717
1673481600000,2023-01-12 00:00:00,COOL/USDT,2650,2650,2650,2650,0,0,0,0,0,2901.19343705763232717
1673395200000,2023-01-11 00:00:00,COOL/USDT,3185.1,3185.1,2650,2650,9.9943023,0.003474,0,0,4,2901.19343705763232717
1673308800000,2023-01-10 00:00:00,COOL/USDT,3185.1,3598.98,3185.1,3185.11,15.83506068,0.004758,6.92950146,0.001962,4,3337.602727921280059154
1673222400000,2023-01-09 00:00:00,COOL/USDT,3598.98,3598.98,3598.98,3598.98,0,0,0,0,0,3598.98
1673136000000,2023-01-08 00:00:00,COOL/USDT,3598.98,3598.98,3598.98,3598.98,1.9974339,0.000555,1.9974339,0.000555,1,3598.98
1673049600000,2023-01-07 00:00:00,COOL/USDT,2977.16,2977.16,2977.16,2977.16,0,0,0,0,0,2977.16
1672963200000,2023-01-06 00:00:00,COOL/USDT,2977.16,2977.16,2977.16,2977.16,0,0,0,0,0,2977.16
1672876800000,2023-01-05 00:00:00,COOL/USDT,2977.16,2977.16,2977.16,2977.16,0,0,0,0,0,2977.16
1672790400000,2023-01-04 00:00:00,COOL/USDT,2977.16,2977.16,2977.16,2977.16,0,0,0,0,0,2977.16
1672704000000,2023-01-03 00:00:00,COOL/USDT,2977.16,2977.16,2977.16,2977.16,0,0,0,0,0,2977.16
1672617600000,2023-01-02 00:00:00,COOL/USDT,2977.16,2977.16,2977.16,2977.16,0,0,0,0,0,2977.16
1672531200000,2023-01-01 00:00:00,COOL/USDT,2977.16,2977.16,2977.16,2977.16,0,0,0,0,0,2977.16
1672444800000,2022-12-31 00:00:00,COOL/USDT,2977.16,2977.16,2977.16,2977.16,0,0,0,0,0,2977.16
1672358400000,2022-12-30 00:00:00,COOL/USDT,2977.16,2977.16,2977.16,2977.16,0,0,0,0,0,2977.16
1672272000000,2022-12-29 00:00:00,COOL/USDT,2977.16,2977.16,2977.16,2977.16,0,0,0,0,0,2977.16
1672185600000,2022-12-28 00:00:00,COOL/USDT,2977.16,2977.16,2977.16,2977.16,0,0,0,0,0,2977.16
1672099200000,2022-12-27 00:00:00,COOL/USDT,2977.16,2977.16,2977.16,2977.16,10.50044332,0.003527,0,0,1,2977.16
1672012800000,2022-12-26 00:00:00,COOL/USDT,2799,2799,2799,2799,0,0,0,0,0,2799
1671926400000,2022-12-25 00:00:00,COOL/USDT,2799,2799,2799,2799,0.181935,0.000065,0.181935,0.000065,1,2799
1671840000000,2022-12-24 00:00:00,COOL/USDT,2677.13,2677.13,2677.13,2677.13,0,0,0,0,0,2677.13
1671753600000,2022-12-23 00:00:00,COOL/USDT,2677.13,2677.13,2677.13,2677.13,4.78135418,0.001786,0,0,1,2677.13
1671667200000,2022-12-22 00:00:00,COOL/USDT,2799,2799,2799,2799,0,0,0,0,0,2795.214201818046169419
1671580800000,2022-12-21 00:00:00,COOL/USDT,2405.6,2799,2405.6,2799,4.999543,0.001789,4.999543,0.001789,2,2795.214201818046169419
1671494400000,2022-12-20 00:00:00,COOL/USDT,2405.6,2405.6,2405.6,2405.6,0,0,0,0,0,2390.079528552182013643
1671408000000,2022-12-19 00:00:00,COOL/USDT,2405.6,2405.6,2405.6,2405.6,0,0,0,0,0,2390.079528552182013643
1671321600000,2022-12-18 00:00:00,COOL/USDT,2405.6,2405.6,2405.6,2405.6,0,0,0,0,0,2390.079528552182013643
1671235200000,2022-12-17 00:00:00,COOL/USDT,2405.6,2405.6,2405.6,2405.6,0,0,0,0,0,2390.079528552182013643
1671148800000,2022-12-16 00:00:00,COOL/USDT,2000.02,2405.6,2000.02,2405.6,6.95116506,0.002912,6.6851624,0.002779,2,2390.079528552182013643
1671062400000,2022-12-15 00:00:00,COOL/USDT,2839.53,2839.53,2839.53,2839.53,0,0,0,0,0,2744.594836849472226881
1670976000000,2022-12-14 00:00:00,COOL/USDT,2839.53,2839.53,2839.53,2839.53,0,0,0,0,0,2744.594836849472226881
