unix,date,symbol,open,high,low,close,Volume XRP,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1738454400000,2025-02-02 00:00:00,XRP/USDD,2.8286,2.9271,2.4872,2.6351,8169.1243,2815.2233,4555.9675,1564.6387,31,2.9033
1738368000000,2025-02-01 00:00:00,XRP/USDD,3.0402,3.0402,2.8569,2.8569,268.4603,88.5518,0,0,4,3.032
1738281600000,2025-01-31 00:00:00,XRP/USDD,3.0317,3.0436,3.0317,3.0436,256.6642,84.337,0,0,2,3.0433
1738195200000,2025-01-30 00:00:00,XRP/USDD,3.109,3.153,3.109,3.153,123.3492,39.6466,123.3492,39.6466,2,3.1112
1738108800000,2025-01-29 00:00:00,XRP/USDD,3.0653,3.0653,3.045,3.0451,519.1893,170.4866,519.1893,170.4866,8,3.0453
1738022400000,2025-01-28 00:00:00,XRP/USDD,3.0912,3.216,3.0317,3.0317,153.2816,49.4461,18.9204,6,7,3.1002
1737936000000,2025-01-27 00:00:00,XRP/USDD,2.9762,3.0306,2.746,3.0306,2870.1976,1002.1788,2263.7482,793.3709,37,2.8659
1737849600000,2025-01-26 00:00:00,XRP/USDD,3.1068,3.1309,3.0317,3.0317,386.4348,125.1437,0,0,7,3.0883
1737763200000,2025-01-25 00:00:00,XRP/USDD,2.9644,3.2113,2.9644,3.1195,73.4502,23.5756,20.2393,6.3548,11,3.1166
1737676800000,2025-01-24 00:00:00,XRP/USDD,2.9782,3.1,2.9782,3.1,189.2239,62.2894,0,0,2,3.039
1737590400000,2025-01-23 00:00:00,XRP/USDD,3.2752,3.2752,3.2752,3.2752,0,0,0,0,0,3.2266
1737504000000,2025-01-22 00:00:00,XRP/USDD,3.2752,3.2752,3.2752,3.2752,0,0,0,0,0,3.2266
1737417600000,2025-01-21 00:00:00,XRP/USDD,3.2752,3.2752,3.2752,3.2752,0,0,0,0,0,3.2266
1737331200000,2025-01-20 00:00:00,XRP/USDD,3.2383,3.2799,3.1965,3.2752,902.884,279.8547,297.8839,91.2566,12,3.2266
1737244800000,2025-01-19 00:00:00,XRP/USDD,3.2691,3.2691,2.8793,2.8793,2025.7692,650.2331,307.6029,106.0064,38,3.1198
1737158400000,2025-01-18 00:00:00,XRP/USDD,3.2752,3.2752,3.0801,3.1925,1256.6856,396.2866,165.5709,51.9042,16,3.1712
1737072000000,2025-01-17 00:00:00,XRP/USDD,3.3517,3.3749,3.2783,3.2783,1728.8692,521.3625,1524.0452,459.1914,14,3.3164
1736985600000,2025-01-16 00:00:00,XRP/USDD,3.2145,3.3459,3.0319,3.0319,4134.0033,1309.0054,3700.1522,1174.6868,24,3.1614
