unix,date,symbol,open,high,low,close,Volume ETH,Volume USDD,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1713744000000,2024-04-22 00:00:00,ETH/USDD,3259.21,3292.82,3259.21,3292.82,147.05,0.044999,147.05,0.044999,13,3268.03
1713657600000,2024-04-21 00:00:00,ETH/USDD,3239.22,3239.22,3058.7,3190,679.13,0.209783,673.01,0.207783,6,3237.4
1713571200000,2024-04-20 00:00:00,ETH/USDD,3179,3219.22,3179,3219.22,679.3,0.211047,679.3,0.211047,4,3218.76
1713484800000,2024-04-19 00:00:00,ETH/USDD,2979,3168.92,2949,3168.92,27.42,0.00894,14.23,0.004496,5,3070.8
1713398400000,2024-04-18 00:00:00,ETH/USDD,3001,3001,3001,3001,0,0,0,0,0,3139.62
1713312000000,2024-04-17 00:00:00,ETH/USDD,3140.63,3140.64,3001,3001,692.03,0.220423,687.03,0.218757,3,3139.62
1713225600000,2024-04-16 00:00:00,ETH/USDD,3174.62,3185.76,3174.62,3185.76,15.9,0.005003,15.9,0.005003,2,3179.08
1713139200000,2024-04-15 00:00:00,ETH/USDD,3259,3298.99,3001.22,3001.22,1171.83,0.35622,1167.49,0.354774,39,3289.76
1713052800000,2024-04-14 00:00:00,ETH/USDD,2942.91,2942.91,2942.91,2942.91,0,0,0,0,0,2956.06
1712966400000,2024-04-13 00:00:00,ETH/USDD,3080,3080,2897.18,2942.91,3555.41,1.202961,1781.74,0.602452,29,2956.06
1712880000000,2024-04-12 00:00:00,ETH/USDD,3529.3,3529.3,3110,3436.52,6477.45,2.01683,2022.91,0.621935,66,3213.52
1712793600000,2024-04-11 00:00:00,ETH/USDD,3430.53,3628.31,3430.53,3628.31,26.68,0.007535,15.66,0.004325,5,3543.73
1712707200000,2024-04-10 00:00:00,ETH/USDD,3459.01,3591.33,3419.92,3423.84,402.73,0.116323,1,0.00028,11,3462.41
1712620800000,2024-04-09 00:00:00,ETH/USDD,3736.68,3736.68,3479,3479,39.37,0.010893,19.38,0.005188,5,3618.56
1712534400000,2024-04-08 00:00:00,ETH/USDD,3478,3720.15,3478,3720.15,1463.09,0.408097,1190.34,0.332566,29,3585.49
1712448000000,2024-04-07 00:00:00,ETH/USDD,3412.83,3459,3287.98,3459,349.64,0.105098,108.86,0.031869,4,3327.88
1712361600000,2024-04-06 00:00:00,ETH/USDD,3239,3239,3239,3239,0,0,0,0,0,3318.27
1712275200000,2024-04-05 00:00:00,ETH/USDD,3227.22,3418.43,3227.22,3239,22.11,0.006671,10,0.002927,4,3318.27
1712188800000,2024-04-04 00:00:00,ETH/USDD,3439,3439,3439,3439,4.99,0.001453,4.99,0.001453,1,3439
1712102400000,2024-04-03 00:00:00,ETH/USDD,3219.11,3219.11,3219.11,3219.11,0,0,0,0,0,3305.91
1712016000000,2024-04-02 00:00:00,ETH/USDD,3420,3433.91,3219.11,3219.11,600.96,0.181801,24.58,0.007335,21,3305.91
1711929600000,2024-04-01 00:00:00,ETH/USDD,3569.09,3569.09,3440,3440,4248.41,1.232359,897.13,0.259824,40,3447.4
1711843200000,2024-03-31 00:00:00,ETH/USDD,3639.72,3674.58,3639.72,3674.58,116.53,0.031974,116.53,0.031974,2,3644.68
1711756800000,2024-03-30 00:00:00,ETH/USDD,3503.23,3503.23,3503.23,3503.23,0,0,0,0,0,3475.47
1711670400000,2024-03-29 00:00:00,ETH/USDD,3603.7,3603.7,3460,3503.23,519.59,0.149513,23.6,0.006606,8,3475.47
1711584000000,2024-03-28 00:00:00,ETH/USDD,3678.59,3678.59,3678.59,3678.59,0,0,0,0,0,3678.59
1711497600000,2024-03-27 00:00:00,ETH/USDD,3678.59,3678.59,3678.59,3678.59,129.97,0.035333,129.97,0.035333,1,3678.59
1711411200000,2024-03-26 00:00:00,ETH/USDD,3653.86,3668.96,3461.07,3461.07,7744.5,2.116338,633.4,0.172882,18,3659.39
1711324800000,2024-03-25 00:00:00,ETH/USDD,3478.34,3658.67,3478.18,3600,2617.4,0.732753,2167.55,0.607658,31,3572.82
1711238400000,2024-03-24 00:00:00,ETH/USDD,3268,3268,3260.01,3260.01,3205.82,0.982443,1956.24,0.600073,15,3263.12
1711152000000,2024-03-23 00:00:00,ETH/USDD,3260.01,3260.01,3260.01,3260.01,0,0,0,0,0,3287.8
1711065600000,2024-03-22 00:00:00,ETH/USDD,3382.72,3595.09,3260.01,3260.01,1259.7,0.383222,23.94,0.006661,14,3287.8
1710979200000,2024-03-21 00:00:00,ETH/USDD,3539,3579,3350,3579,843.64,0.243155,700.01,0.202805,10,3472.46
1710892800000,2024-03-20 00:00:00,ETH/USDD,3140,3539,3080,3539,101.02,0.029752,86.02,0.02493,17,3402.06
1710806400000,2024-03-19 00:00:00,ETH/USDD,3608,3608,3170,3312.65,3581.43,1.075029,1150.73,0.333871,39,3334.93
1710720000000,2024-03-18 00:00:00,ETH/USDD,3550.03,3633.54,3419.11,3633.54,843,0.243637,317.41,0.089969,6,3460.92
1710633600000,2024-03-17 00:00:00,ETH/USDD,3500,3500,3428.68,3428.68,451.85,0.131089,366.35,0.106561,10,3447.05
1710547200000,2024-03-16 00:00:00,ETH/USDD,3590.99,3590.99,3499,3499,373.11,0.104136,0,0,9,3583.09
1710460800000,2024-03-15 00:00:00,ETH/USDD,3907.11,3907.11,3602.27,3740.98,18133.89,4.979128,15003.17,4.132176,88,3642.8
1710374400000,2024-03-14 00:00:00,ETH/USDD,3921.13,3987.48,3749.7,3858.83,3793.49,0.992909,818.61,0.21544,35,3821.74
1710288000000,2024-03-13 00:00:00,ETH/USDD,4004.6,4079.9,3967.3,4076.78,3462.13,0.857852,2707.35,0.669017,20,4036.16
1710201600000,2024-03-12 00:00:00,ETH/USDD,4089.22,4090.73,3869.09,3869.09,18146.49,4.51373,5338.89,1.321173,162,4020.6
1710115200000,2024-03-11 00:00:00,ETH/USDD,3861.95,4088.88,3750,4069.61,23070.07,5.854792,11873.77,2.978683,217,3943.35
1710028800000,2024-03-10 00:00:00,ETH/USDD,3923.14,3978.6,3819,3911.47,22017.02,5.62071,12121.44,3.10077,228,3917.33
1709942400000,2024-03-09 00:00:00,ETH/USDD,3894.64,3967.85,3861.33,3921.41,16625.26,4.234469,7134.54,1.816723,190,3926.27
1709856000000,2024-03-08 00:00:00,ETH/USDD,3902.27,4000,3834.41,3880.8,18925.72,4.819537,9166.33,2.329837,234,3927.11
1709769600000,2024-03-07 00:00:00,ETH/USDD,3834.96,3930,3769.27,3822.17,16430.16,4.290432,7490.42,1.960716,210,3829.8
1709683200000,2024-03-06 00:00:00,ETH/USDD,3573.82,3890,3453.32,3818.52,11947.18,3.187483,5346.23,1.424602,175,3752.67
1709596800000,2024-03-05 00:00:00,ETH/USDD,3586.44,3850,3209.16,3510.25,17738.67,4.899145,6625.26,1.833006,336,3625.64
1709510400000,2024-03-04 00:00:00,ETH/USDD,3499.28,3628.91,3388.87,3628.89,35959.92,10.296878,7890.01,2.253184,533,3492.88
1709424000000,2024-03-03 00:00:00,ETH/USDD,3414.38,3499.03,3311.71,3476.09,25261.81,7.408196,10057.5,2.937108,390,3410.28
1709337600000,2024-03-02 00:00:00,ETH/USDD,3392.88,3464.48,3368.7,3387.01,28371.75,8.318806,7520.94,2.198476,463,3410.63
1709251200000,2024-03-01 00:00:00,ETH/USDD,3358.8,3462.36,3339.28,3436.57,21914.47,6.441329,11699.54,3.429402,364,3402.41
1709164800000,2024-02-29 00:00:00,ETH/USDD,3426.14,3524,3316.77,3371.18,18640.49,5.431793,10284.38,2.990045,286,3432.58
1709078400000,2024-02-28 00:00:00,ETH/USDD,3234.59,3461.77,3210,3380.07,37546.18,11.376895,18053.57,5.446379,450,3300.88
1708992000000,2024-02-27 00:00:00,ETH/USDD,3174.69,3280.38,3121.56,3253.57,22898.07,7.074542,9768.91,3.017981,312,3236.87
1708905600000,2024-02-26 00:00:00,ETH/USDD,3116.75,3194.32,3040,3130.77,19633.91,6.286732,8580.53,2.743209,250,3123.37
1708819200000,2024-02-25 00:00:00,ETH/USDD,2990.26,3126.45,2955.02,3102.04,17950.04,5.901884,9010.91,2.957623,244,3041.74
1708732800000,2024-02-24 00:00:00,ETH/USDD,2938.04,3009.07,2913.67,2997.72,14780.33,4.97373,5263.28,1.771647,245,2971.82
