unix,date,symbol,open,high,low,close,Volume XMR,Volume BTC,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1741996800000,2025-03-15 00:00:00,XMR/BTC,0.002486,0.002516,0.002465,0.002504,0.097182,38.76,0.055511,22.1,98,0.002507
1741910400000,2025-03-14 00:00:00,XMR/BTC,0.002565,0.002574,0.002438,0.002486,1.977451,784.28,0.22437,88.88,1174,0.002521
1741824000000,2025-03-13 00:00:00,XMR/BTC,0.0025,0.002576,0.0025,0.002551,1.224782,481.76,0.384286,150.78,475,0.002542
1741737600000,2025-03-12 00:00:00,XMR/BTC,0.002564,0.002592,0.002482,0.0025,1.529196,604.82,0.228315,89.94,1283,0.002528
1741651200000,2025-03-11 00:00:00,XMR/BTC,0.00258,0.002588,0.002489,0.002564,1.664825,654.76,0.216914,85.07,1239,0.002542
1741564800000,2025-03-10 00:00:00,XMR/BTC,0.00261,0.002649,0.002496,0.002558,2.988035,1158.14,0.474847,184.45,1546,0.00258
1741478400000,2025-03-09 00:00:00,XMR/BTC,0.002564,0.00265,0.002557,0.00263,0.795996,304.2,0.390396,148.34,384,0.002616
1741392000000,2025-03-08 00:00:00,XMR/BTC,0.002513,0.00262,0.002508,0.002583,2.199336,852.86,1.364425,524.77,639,0.002579
1741305600000,2025-03-07 00:00:00,XMR/BTC,0.002542,0.0026,0.002449,0.002512,2.287325,891.39,0.429945,168.92,1164,0.002566
1741219200000,2025-03-06 00:00:00,XMR/BTC,0.002517,0.002579,0.002483,0.002542,3.323163,1305.13,0.779285,305.34,1264,0.002546
1741132800000,2025-03-05 00:00:00,XMR/BTC,0.00258,0.002625,0.002466,0.002508,1.297318,503.96,0.323427,126.85,888,0.002575
1741046400000,2025-03-04 00:00:00,XMR/BTC,0.002566,0.002629,0.002492,0.002563,1.749831,686.89,0.38068,147.58,850,0.002547
1740960000000,2025-03-03 00:00:00,XMR/BTC,0.002454,0.002609,0.002454,0.002534,2.125078,845.5,1.183538,471.02,1122,0.002514
1740873600000,2025-03-02 00:00:00,XMR/BTC,0.002596,0.00267,0.0024,0.002443,4.179321,1661.59,1.864076,746.47,2085,0.002517
