unix,date,symbol,open,high,low,close,Volume CORN,Volume USDT,buyTakerAmount,buyTakerQuantity,tradeCount,weightedAverage
1682985600000,2023-05-02 00:00:00,CORN/USDT,8.99,9.99,8.99,9.99,5.63,0.626313,5.63,0.626313,3,8.99
1682899200000,2023-05-01 00:00:00,CORN/USDT,8.98,8.99,8.98,8.99,18.52,2.062476,18.52,2.062476,4,8.98
1682812800000,2023-04-30 00:00:00,CORN/USDT,7.98,7.98,7.98,7.98,0,0,0,0,0,7.98
1682726400000,2023-04-29 00:00:00,CORN/USDT,7.98,7.98,7.98,7.98,0,0,0,0,0,7.98
1682640000000,2023-04-28 00:00:00,CORN/USDT,7.98,7.98,7.98,7.98,0,0,0,0,0,7.98
1682553600000,2023-04-27 00:00:00,CORN/USDT,7.98,7.98,7.98,7.98,7.98,1,0,0,2,7.98
1682467200000,2023-04-26 00:00:00,CORN/USDT,8.98,8.99,7.98,7.98,78.1,9.648291,9.9,1.102041,4,8.1
1682380800000,2023-04-25 00:00:00,CORN/USDT,8.61,8.61,7.98,7.98,30.08,3.674172,0,0,5,8.19
1682294400000,2023-04-24 00:00:00,CORN/USDT,8.62,8.62,8.62,8.62,4.31,0.5,0,0,1,8.62
1682208000000,2023-04-23 00:00:00,CORN/USDT,8.61,8.61,8.61,8.61,0,0,0,0,0,8.61
1682121600000,2023-04-22 00:00:00,CORN/USDT,8.61,8.61,8.61,8.61,0,0,0,0,0,8.61
1682035200000,2023-04-21 00:00:00,CORN/USDT,8.61,8.61,8.61,8.61,0,0,0,0,0,8.61
1681948800000,2023-04-20 00:00:00,CORN/USDT,8.61,8.61,8.61,8.61,0,0,0,0,0,8.61
1681862400000,2023-04-19 00:00:00,CORN/USDT,8.61,8.61,8.61,8.61,0.5,0.058695,0,0,1,8.61
1681776000000,2023-04-18 00:00:00,CORN/USDT,9.73,9.73,9.73,9.73,4.55,0.468571,0,0,1,9.73
1681689600000,2023-04-17 00:00:00,CORN/USDT,9.73,9.73,9.73,9.73,0,0,0,0,0,9.73
1681603200000,2023-04-16 00:00:00,CORN/USDT,9.73,9.73,9.73,9.73,0,0,0,0,0,9.73
